order_id,sku,product_name,quantity,unit_price,line_spend
O10001,FR-2201,Titanium Rimless Frame,12,125.00,1500.00
O10001,FR-2305,Acetate Round Frame,8,212.50,1700.00
O10002,LN-5501,Progressive HD Lens,20,175.00,3500.00
O10002,LN-5602,Blue Light Filter Lens,30,175.00,5250.00
O10003,FR-2401,Stainless Steel Frame,24,180.00,4320.00
O10003,FR-2202,Flex Titanium Frame,18,226.67,4080.00
O10003,AC-9901,Lens Cleaning Kit 12pk,40,100.00,4000.00
O10004,EQ-1101,Digital Phoropter Pro,2,8000.00,16000.00
O10004,EQ-1205,Slit Lamp BQ-900,1,6000.00,6000.00
O10005,AC-9902,Anti-Fog Spray Case 24,30,25.00,750.00
O10005,AC-9801,Microfiber Cloth 50pk,22,50.00,1100.00
O10006,EQ-1101,Digital Phoropter Pro,3,8000.00,24000.00
O10006,EQ-1301,Auto Refractometer,1,7000.00,7000.00
O10007,LN-5701,Photochromic Lens,28,165.00,4620.00
O10007,LN-5501,Progressive HD Lens,28,165.00,4620.00
O10008,FR-2305,Acetate Round Frame,14,200.00,2800.00
O10008,FR-2101,Metal Aviator Frame,8,200.00,1600.00
O10009,LN-5602,Blue Light Filter Lens,40,175.00,7000.00
O10009,LN-5801,Trivex Lens,30,175.00,5250.00
O10009,LN-5901,High Index 1.74 Lens,13,192.31,2500.00
O10010,FR-2501,Designer Acetate Frame,30,220.00,6600.00
O10010,FR-2601,Carbon Fiber Frame,15,420.00,6300.00
O10010,FR-2701,Sport Frame,20,345.00,6900.00
O10011,AC-9903,Case Display Stand,10,180.00,1800.00
O10011,AC-9904,Polishing Machine,1,1500.00,1500.00
O10011,AC-9901,Lens Cleaning Kit 12pk,40,100.00,4000.00
O10012,FR-2201,Titanium Rimless Frame,16,125.00,2000.00
O10012,FR-2101,Metal Aviator Frame,16,256.25,4100.00
